result #,search engine,query,article title,article url,article description,total nr of results (best guess)
35,duckduckgo,Greta Thunberg,George Soros is backing Greta Thunberg | Free West Media,https://freewestmedia.com/2019/04/24/george-soros-is-backing-greta-thunberg/,George Soros is backing Greta Thunberg. Behind the world famous 16-year-old climate activist,
36,duckduckgo,Greta Thunberg,FridaysForFuture,https://www.fridaysforfuture.org/,Greta Thunberg&#x27;s UN Sept 23 speech. UN Award for FFF FridaysForFuture: ActivismRiskZone. Fridaysforfuture want you to only strike in a way,
37,duckduckgo,Greta Thunberg,Greta Thunberg - Het Nieuwsblad,https://www.nieuwsblad.be/tag/greta-thunberg,In Gent werd er dit weekend een politiecombi gespot met een anti-Greta Thunberg sticker. De foto doet de ronde op sociale media en de politie bevestigt dat ze de ...,100
38,duckduckgo,Greta Thunberg,Who&#x27;s REALLY behind 16-year-old Greta Thunberg? | Daily Mail Online,https://www.dailymail.co.uk/news/article-6946815/Whos-REALLY-16-year-old-Greta-Thunberg.html,While Greta Thunberg spoke to Existence Rebellion protesters in London yesterday,
39,duckduckgo,Greta Thunberg,Greta Thunberg - De Standaard,https://www.standaard.be/tag/greta-thunberg,De zestienjarige klimaatactiviste Greta Thunberg heeft op Twitter gereageerd op de haatberichten die ze de afgelopen dagen over zich heen kreeg.,100
40,duckduckgo,Greta Thunberg,Greta Thunberg | Steckbrief,,,
41,duckduckgo,Greta Thunberg,The problem with Greta Thunberg&#x27;s sea crossings - spectator.us,https://spectator.us/problem-greta-thunberg-sea-crossings/,Greta Thunberg&#x27;s international profile,
42,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://fi.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (s. 3. tammikuuta 2003 Tukholma,
43,duckduckgo,Greta Thunberg,&#x27;You did not act in time&#x27;: Greta Thunberg&#x27;s full speech to MPs ...,https://www.theguardian.com/environment/2019/apr/23/greta-thunberg-full-speech-to-mps-you-did-not-act-in-time,Apr-23,
44,duckduckgo,Greta Thunberg,Greta Thunberg: How one teenager became the voice of the planet | WIRED UK,https://www.wired.co.uk/article/greta-thunberg-climate-crisis,When adults wouldn&#x27;t listen,
45,duckduckgo,Greta Thunberg,Greta Thunberg — Wikipédia,https://fr.m.wikipedia.org/wiki/Greta_Thunberg,modifier - modifier le code - modifier Wikidata Greta Thunberg / ² ɡ r e ː t a ² t ʉ ː n b æ r j / [a] Écouter ,
46,duckduckgo,Greta Thunberg,Greta Thunberg: Marionette des linken Mainstreams - Jürgen Fritz Blog,https://juergenfritz.com/2019/03/01/greta-thunberg-marionette/,(Stefan Groß,
47,duckduckgo,Greta Thunberg,De dochter,,,
48,duckduckgo,Greta Thunberg,Greta Thunberg - Wikiquote,https://en.wikiquote.org/wiki/Greta_Thunberg,People are dying. Entire ecosystems are collapsing. We are in the beginning of a mass extinction. And all you can talk about is money and fairytales of ...,100
49,duckduckgo,Greta Thunberg,George Soros is backing &#x27;climate activist&#x27; Greta Thunberg | Europe Reloaded,https://www.europereloaded.com/george-soros-is-backing-climate-activist-greta-thunberg/,Pam Barker | Director of TLB Europe Reloaded Project. In a recent short piece for Causeur online magazine,
50,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://it.m.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg è figlia della cantante d&#x27;opera Malena Ernman e dell&#x27;attore Svante Thunberg. Quando aveva 13 anni le fu diagnosticata la sindrome di Asperger. Anche a ...,100
51,duckduckgo,Greta Thunberg,Why Greta Thunberg doesn&#x27;t deserve a Nobel - spiked,https://www.spiked-online.com/2019/03/22/why-greta-thunberg-doesnt-deserve-a-nobel/,Greta Thunberg - the stern 16-year-old voice and face of the recent school climate-strike movement - has been nominated for the Nobel Peace Prize ...,100
52,duckduckgo,Greta Thunberg,Climate Activist Greta Thunberg and &quot;The Greta Effect&quot;,https://interestingengineering.com/swedish-climate-activist-greta-thunberg-and-the-greta-thunberg-effect,Swedish Climate Activist Greta Thunberg and the &quot;Greta Thunberg Effect&quot; A 16-year-old Swedish girl with braids is on Time Magazine&#x27;s cover,
53,duckduckgo,Greta Thunberg,Greta Thunberg: Aktuelle News der FAZ zur Umweltaktivistin,https://www.faz.net/aktuell/politik/thema/greta-thunberg,Greta Thunberg bei der FAZ: Hier erhalten Sie ausführliche und aktuelle Nachrichten zur schwedischen Klimaschutzaktivistin. Jetzt lesen!,100
54,duckduckgo,Greta Thunberg,Greta Thunberg - Posts | Facebook,https://www.facebook.com/pg/gretathunbergsweden/posts/,Greta Thunberg. 2,
55,duckduckgo,Greta Thunberg,Greta Thunberg: 5 Fast Facts You Need to Know | Heavy.com,https://heavy.com/news/2018/12/greta-thunberg/,Greta Thunberg is the 15-year-old climate activist from Sweden is driven and determined to have world leaders do more than talk about global warming but to ...,100
56,duckduckgo,Greta Thunberg,Greta Thunberg arrives in New York after 15-day yacht journey - CNN,https://www.cnn.com/2019/08/28/us/greta-thunberg-new-york-landfall-scli-intl/index.html,Aug-28,
57,duckduckgo,Greta Thunberg,Let them sail yachts: Why Greta Thunberg and the environmental elite ...,https://www.rt.com/news/465501-greta-thunberg-hates-you/,Swedish climate activist Greta Thunberg will sail across the Atlantic by boat to attend two climate conferences. But the teenager&#x27;s carbon-neutral odyssey reveals ...,100
58,duckduckgo,Greta Thunberg,Why is Greta Thunberg so triggering for certain men?,https://www.irishtimes.com/life-and-style/people/why-is-greta-thunberg-so-triggering-for-certain-men-1.4002264,Why is Greta Thunberg so triggering? How can a 16-year-old girl in plaits,
59,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s Best Quotes | Eco-Age,https://eco-age.com/news/greta-thunbergs-best-quotes,In just twelve months,
60,duckduckgo,Greta Thunberg,Greta Thunberg T-Shirts | Redbubble,https://www.redbubble.com/shop/greta+thunberg+t-shirts,High quality Greta Thunberg inspired T-Shirts by independent artists and designers from around the world.All orders are custom made and most ship worldwide within 24 ...,100
61,duckduckgo,Greta Thunberg,Greta Thunberg will sail across the Atlantic on a zero-emissions yacht ...,https://www.cnn.com/2019/07/29/europe/greta-thunberg-sailboat-scli-intl/index.html,Jul-29,
62,duckduckgo,Greta Thunberg,Greta Thunberg met zeilboot naar VS voor klimaattop - De Standaard,https://www.standaard.be/cnt/dmf20190729_04533282,De Zweedse klimaatactiviste Greta Thunberg zal volgende week van Groot-Brittannië naar de Verenigde Staten varen met een zeilboot. Ze gaat er een reeks kli...,100
63,duckduckgo,Greta Thunberg,The cult of Greta Thunberg - spiked-online.com,https://www.spiked-online.com/2019/04/22/the-cult-of-greta-thunberg/,Anyone who doubts that the green movement is morphing into a millenarian cult should take a close look at Greta Thunberg. This poor young woman ...,100
64,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipédia,https://hu.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg (2003. január 3. -) svéd diáklány,
65,duckduckgo,Greta Thunberg,The Manufacturing of Greta Thunberg - wrongkindofgreen.org,http://www.wrongkindofgreen.org/2019/01/17/the-manufacturing-of-greta-thunberg-for-consent-the-political-economy-of-the-non-profit-industrial-complex/,Mårten Thorslund,
66,duckduckgo,Greta Thunberg,Greta Thunberg est la petite-fille du milliardaire de gauche Georges Soros,https://secretnews.fr/2019/08/28/greta-thunberg-georges-soros/,Le philanthrope multimilliardaire américain d&#x27;origine juive est très fier de sa petite-fille. La jeune militante écologiste Greta Thunberg a elle-même laissé ...,100
67,duckduckgo,Greta Thunberg,Greta Thunberg Is on the 2019 TIME 100 List | Time.com,https://time.com/collection/100-most-influential-people-2019/5567758/greta-thunberg/,Teen climate activist Greta Thunberg is one of the most influential people of 2019,
68,duckduckgo,Greta Thunberg,Greta Thunberg Quotes,https://www.quotes.net/authors/Greta+Thunberg,Explore some of Greta Thunberg best quotations and sayings on Quotes.net -- such as &#x27;I guess they must feel like their world view or their interests or whatever... is ...,100
69,duckduckgo,Greta Thunberg,Greta Thunberg faces a storm of criticism in her sailing journey to ...,https://www.washingtonpost.com/world/2019/08/15/swedish-climate-activist-greta-thunberg-is-sailing-america-amid-storm-criticism/,Aug-15,
70,duckduckgo,Greta Thunberg,Greta Thunberg - SPIEGEL ONLINE,https://www.spiegel.de/thema/greta_thunberg/,Freitag ist Demonstrationstag,
71,duckduckgo,Greta Thunberg,Greta Thunberg,,,
72,duckduckgo,Greta Thunberg,Teen Activist Greta Thunberg on the Climate Change Fight,https://time.com/collection-post/5584902/greta-thunberg-next-generation-leaders/,&quot;Can you hear me?&quot; Greta Thunberg asks the 150 members and advisers in the U.K. Houses of Parliament. She taps the microphone as if to check if it&#x27;s ...,100
73,duckduckgo,Greta Thunberg,This Greta Thunberg thing is child abuse,https://www.washingtonexaminer.com/opinion/this-greta-thunberg-thing-is-child-abuse,Adolescent climate change protester Greta Thunberg has stage parents,
74,duckduckgo,Greta Thunberg,Greta Thunberg | HLN,https://www.hln.be/tag/greta-thunberg,Greta Thunberg pakt met boze speech wereldleiders aan: &quot;Jullie hebben mijn jeugd gestolen met jullie lege woorden,
75,duckduckgo,Greta Thunberg,Overleg:Greta Thunberg - Wikipedia,https://nl.wikipedia.org/wiki/Overleg:Greta_Thunberg,Geestelijke gezondheid. Mag er in deze euforische lofrede op het nieuwe icoon ook nog iets meer gezegd worden over haar zwakke mentale gezondheid?,100
76,duckduckgo,Greta Thunberg,My name is Matilda Olofsson and I am Greta Thunberg&#x27;s arch-nemesis ...,https://spectator.us/matilda-olofsson-greta-thunberg/,For months now I have endured Greta&#x27;s incessant whining as she fights to save the planet from an impending climate catastrophe,
77,duckduckgo,Greta Thunberg,Moeder Greta Thunberg: &quot;Mijn dochter kan CO2 met het blote oog zien ...,https://www.hln.be/nieuws/buitenland/moeder-greta-thunberg-mijn-dochter-kan-co2-met-het-blote-oog-zien~af3cfa15/,De 16-jarige Zweedse klimaatactiviste Greta Thunberg kan volgens haar moeder Malena Ernman (48) CO2 met het blote oog zien. Dat schrijft ze in het boek ...,100
78,duckduckgo,Greta Thunberg,Greta Thunberg,,,
79,duckduckgo,Greta Thunberg,Greta Thunberg has collected funds for Antifa-supporting organisation ...,https://voiceofeurope.com/2019/07/greta-thunberg-has-collected-funds-for-antifa-supporting-organisation/,The Swedish climate oracle,
80,duckduckgo,Greta Thunberg,Greta Thunberg: &#x27;To do your best is no longer good enough&#x27;,https://www.gq-magazine.co.uk/men-of-the-year/article/greta-thunberg-interview,The story of Greta Thunberg,
81,duckduckgo,Greta Thunberg,Greta Thunberg Is Coming to Speak at the U.N. — by Sailboat,https://www.thecut.com/2019/07/greta-thunberg-sailboat-atlantic-ocean.html,16-year-old Swedish climate activist Greta Thunberg is traveling to a U.N. summit meeting on global warming by sailboat.,100
82,duckduckgo,Greta Thunberg,The cult of Greta Thunberg | Watts Up With That?,https://wattsupwiththat.com/2019/04/22/the-cult-of-greta-thunberg/,Greta Thunberg in front of the Swedish parliament in Stockholm,
83,duckduckgo,Greta Thunberg,Greta Thunberg Covers British Vogue&#x27;s September 2019 Issue - vogue.co.uk,https://www.vogue.co.uk/article/greta-thunberg-vogue-september-2019-issue-cover,Just after breakfast one morning in June,
84,duckduckgo,Greta Thunberg,Greta Thunberg Gifts &amp; Merchandise | Redbubble,https://www.redbubble.com/shop/greta+thunberg,High quality Greta Thunberg inspired T-Shirts,
85,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s Transatlantic Sailing Trip Is Seriously Carbon-Neutral ...,https://cleantechnica.com/2019/08/22/greta-thunbergs-transatlantic-sailing-trip-is-seriously-carbon-neutral/,But the question being asked by the usual suspects is,
86,duckduckgo,Greta Thunberg,Opinion | The Problem With Greta Thunberg&#x27;s Climate Activism - The New ...,https://www.nytimes.com/2019/08/02/opinion/climate-change-greta-thunberg.html,Aug-02,
87,duckduckgo,Greta Thunberg,Cramped and basic: Greta Thunberg&#x27;s voyage to New York,https://news.yahoo.com/cramped-basic-greta-thunbergs-voyage-york-163315047.html,Facing two weeks at sea,
88,duckduckgo,Greta Thunberg,Greta Thunberg nominated for Nobel Peace Prize for climate activism ...,https://www.bbc.com/news/world-europe-47568227,Greta Thunberg,
89,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,,,
90,duckduckgo,Greta Thunberg,Greta Thunberg,,,
91,duckduckgo,Greta Thunberg,Greta Thunberg: Why I began the climate protests that are going global ...,https://www.newscientist.com/article/mg24132213-400-greta-thunberg-why-i-began-the-climate-protests-that-are-going-global/,Swedish 16-year-old Greta Thunberg will lead a global school strike this week. Thousands of children are expected to walk-out to protest climate change ...,100
92,duckduckgo,Greta Thunberg,Greta Thunberg: Caroline Lucas reports Arron Banks to Twitter - BBC News,https://www.bbc.co.uk/news/uk-49358108,Green Party MP Caroline Lucas has complained to Twitter over a tweet by Brexit campaigner Arron Banks aimed at climate change activist Greta Thunberg. On ...,100
93,duckduckgo,Greta Thunberg,Greta Thunberg to sail to New York climate summit in racing yacht,https://www.climatechangenews.com/2019/07/29/greta-thunberg-sail-new-york-climate-summit-racing-yacht/,Greta Thunberg will sail across the Atlantic in the middle of hurricane season next month,
94,duckduckgo,Greta Thunberg,Greta Thunberg - Startseite | Facebook,https://de-de.facebook.com/gretathunbergsweden/,Greta Thunberg. Gefällt 2.400.887 Mal · 1.562.452 Personen sprechen darüber. 16 year old climate and environmental activist with Asperger&#x27;s #fridaysforfuture,100
95,duckduckgo,Greta Thunberg,Greta Thunberg to lead youth climate strike in 150 countries on Friday ...,https://www.vox.com/2019/9/17/20864740/greta-thunberg-youth-climate-strike-fridays-future,Swedish climate activist Greta Thunberg delivers remarks to campaigners in Washington,
96,duckduckgo,Greta Thunberg,greta thunberg | De Volkskrant,https://www.volkskrant.nl/tag/greta-thunberg,Het laatste nieuws met duiding van redacteuren,
97,duckduckgo,Greta Thunberg,Krijgt Nederland zijn eigen Greta Thunberg? | Trouw,https://www.trouw.nl/duurzaamheid-natuur/krijgt-nederland-zijn-eigen-greta-thunberg~b6b1a8986/,De vijftienjarige Rosa Anders heeft veel weg van de Zweedse klimaatactiviste Greta Thunberg. Vrijdag geeft ze een toespraak voor pakweg 15.000 mens...,100
98,duckduckgo,Greta Thunberg,Greta Thunberg,,,
99,duckduckgo,Greta Thunberg,Greta Thunberg,,,
